ñiibiase,estar) nublado.
ñiijuare,"ponerse morado, salir moretón, contusionar."
ñiirã,an.s.plural hembras de las hormigas (negras).
ñiise,"1 (ser/estar) negro, negra. 2 (estar) maduros, maduras (uvas amazónicas). 1 cosa(s) negra(s). 3 fruta madura."
ñimarã,"quiénes? (animales, personas)."
ñi arãjʉa,"cuáles de ellos? (animales, personas)."
ñimia,"an.s.plural langostas ñimia (especie comestible, de varios colores)."
ñimo,quién? (femenino). V. ñ mʉ.
ñi ojʉa,cuál de ellas? (femenino). V. ñ mʉjʉa.
"ñi ʉ, ñi o","pron.interr.m., f. quién (ser masculino, femenino)."
"ñi ʉjʉa, ñi ojʉa","pron.interr.m., f. ¿cuál de ellos, ellas?, ¿quién? (persona, animal)."
ñiorijare,tener hambre. 199 ñ or jaja yʉʉ Tengo mucho hambre. sinón. ñ otãmʉore.
ñiorijose,"dar hambre, hambrear."
ñiorodo,temporada de escasez de comida.
ñiotã ʉore,"tener hambre, morirse de hambre."
ñioweere,"estar en estado de inanición, tener mucha hambre por una temporada prolongada (uso: lengua tradicional, indígena)."
ñisecoere,"borrar, limpiar, quitar raspando."
ñoco,estrella.
ñocoaro ãña,an.s.plural culebras venenosas que aparecen cuando la constelación Pléyades no se ve.
ñocoaro minia,õ õ mĩn ĩ ] an.pl. pájaros de Pléyades (aparecen en esa temporada).
ñocoãña,especie de culebra venenosa.
Ñocoriña,"caño, afluente del caño Piedra. 2."
Ñocoʉ,cerro Estrella al oeste de Sonaña. 2.
ño ʉ,"patabás o batabas (bras. especie de fruta de palma, comestible)."
ño ʉ aje doboa,pájaro bobo picudo. Notharchus macrorhynchus. sinón. jeabueco.
ño ʉ ʉca ʉ,"especie de mojojoy, mojojoi o mojojó (grande, de color café). 200 cervicornis."
ño ʉ ʉcarʉcʉ,"m m J] inan. especie de yuca brava. V. quĩ , rujarʉcʉ."
ño ʉño,palma de patabá o bataba (bras. produce fruto comestible).
ño ʉquee,ramo de la palma de patabá o bataba.
ño ʉ wʉrero,especie de escarabajo (que se encuentra en medio de racimos de la palma ño ʉ jaca).
ñonaa ʉ,especie de grillo.
ñosere,"pegar (con el puño), dar (un puñetazo), picotear (ave)."
ñosetaare,"pegar a otro (con la mano causando una herida), picotear (ave)."
ñoso,"arrendajo lomirrojo (negro, con plumas rojas arriba de la cola). Cacicus haemorrhous."
ñuare,"poner debajo de la superficie del agua, sumergir, hundir (tubérculos de yuca brava)."
ñuca,"inan.s.de masa 1 yare (jugo venenoso que se extrae de la yuca amarga, el cual se mezcla con agua). 2 manicuera (bras. bebida del jugo hervido de la yuca brava)."
ñucaa,fibras (del centro del ramo de la palma de mirití que se utiliza para hacer la cuerda con que se hace una hamaca). 201 un chinchorro.
ñucaa wẽniro,ũ wẽ nĩ õ J] inan. estera tejida de un ramo de la palma de mirití en forma de un abanico.
ñucaabʉti,"cumare (fibras del centro de la palma chambirá utilizadas para hacer guindos de hamaca, abanicos y otras cosas). Astrocaryum vulgare."
Ñucajoero,"cachivera (bras.), raudal, rápido (por el caño Piedra). ñuca manajiro especie de oruga"
ñuca manajiro,especie de oruga.
ñucamene E,"ñucamimi J ũ mĩm ĩ inan.f.n.esp. cañas de azúcar, cañas de panela y su jugo. Saccharum officinarum L."
ñucamene weta E,ñucamimi weta J ũ mĩ mĩ wet inan.s.de masa azúcar.
ñucameneño E,"ñucamimiño J ũ mĩm ĩ inan. caña de azúcar. pl. ñucamene, ñucameneñori; ñucamimi, ñucamimiñori. ñucamimi J V. ñucamene E. ñucamimi weta J V. ñucamene weta E. ñucamimi wetajoa J V. ñucamene wetajoa E. ñucamimiño J V. ñucameneño E. ñucuase ñuu ʉore Eduria & Barasana – Español – 202"
ñucuase,"1 (ser/estar) flexible y fuerte, durable (metal, alambre, palos, hojas guiwaca, bulto de caucho). 2 (ser/estar) espeso (líquido)."
ñujaare,poner huevos (hecho por la rana).
ñuju,"1 an. perro del monte, cuchicuchi. Potos flavus. 2 gusano de especie de escarabajo (larva pequeña, color de café, se encuentra en palos podridos)."
ñurocawiore,ũ ó w ó J] v.t.sing. empujar (cosa flotante hacia la mitad del río).
ñutẽotaarigũ u,tẽ t m J] s.v.inan. palo atravesado en el camino.
ñuubaariabaja,"J] s.v.inan. plato para recibir comida. sinón. baáre jeoriabaja, baáre jeoriacooro, baáre sãariabaja, baáriabaja, sõmotẽero, sotʉ aja."
ñuubuere,"celebrar misa, hablar a Dios, pedir a Dios."
ñuubueriawii,ú .wi J] s.v.inan. capilla.
ñuucũure,poner machete por el suelo adentro de hierba.
ñuujojiose,"desarrollarse, desenrollarse (hecho sólo por la culebra). V. ãña ñuujojiose."
ñuujoore,"estirarse, extenderse (el brazo o la pierna)."
ñuujõcũure,empujar hacia la orilla (canoa).
ñuu ʉore,alzar (palos). 203 subieron (para atarlos). V. ñuure.
ñuuñanare,"encoger, comprimir la matafrío (para aumentar su volumen o barriga, tanto para exprimir la masa como para extraerla)."
ñuuñare,"estar) debajo del agua, sumergir (todo el cuerpo)."
ñuure,"extender la mano o brazo (para recibir comida, indicar, señalar algo)."
ñuurẽtobuure,ũ ẽ tõ úú J] v.t. meter algo en un hueco y pasar a través de este.
ñuurocare,empujar (cosa).
ñuusãare,"meter, poner adentro de (cosa en una bolsa o hueco, dardo en una cerbatana)."
ñuusõore,"dejar, meter adentro de (cosa en una bolsa, hueco)."
ñuutoore,evitar la lluvia o el sol debajo de una hoja grande.
ñuutuure,empujar entre; enchufar (enchufe eléctrica).
ñuutʉore,"empujar para devolver (canoa, palo)."
ñuuwaare,"serpentear, deslizarse, escurrirse (culebra)."
ñuuweaãmire,ũ w mĩ ẽ J] v.t. 1 sacar algo con un palo (porque no alcanza a coger). 2 quitar y colgar (la corona del baile).
ñuuwiore,"empujar hacia el centro del agua o río (canoa, etc.). 204 O - o oa zarigüeya, chucha"
oa,"1 zarigüeya, chucha. Didelphis marsupialis. 2 marmosa ratona (especie de zarigüeya muy pequeña). Marmosa murina. pl. oa."
oa acabaagʉ,"o m g J] s.v.m. él que anda y rebusca comida (gallo, ave)."
obiare,"envolver, forrar para guardar bien."
oca,"1 idioma, lengua. 2 consejo. 3 mensaje. 4 ruido. pl. no hay plural. V. oca ruyuse, queti."
oca J,"judia E inan. barba, barbilla, mentón."
oca botiore,"1 estar activa, animada (persona). 2 vencer, superar."
oca bʉjʉre,"ser hablador, habladora; verboso, verbosa (por ejemplo: contar cuentos por un largo rato)."
oca jedire,"conversar, dialogar, hablar a alguien."
oca josare,
oca manire,"estar sin problemas; (estar) tranquilo, tranquila."
oca quẽnore,"solucionar, resolver (problema), arreglar, hacer las paces. 205 V. got quẽnore, ñagõquẽnore."
oca rẽtore,"no hacer caso, desobedecer."
oca ruyuse,escuchar un ruido.
oca sãare,1 acusar. 2 prometer.
oca yojare,"chismear, hablar mal del otro."
ocase,"ser/estar) salado, salada."
oco,"inan.s.de masa 1 agua. 2 lluvia. 3 líquido (como agua, lluvia)."
oco menirease,desbordarse (agua).
oco ñiise,"estar) muy nublado, nublada; oscurecer u obscurecer (río, nubes); ensombrecer (nubes)."
oco rẽtore,"despejar (el viento, el trueno y las nubes de la lluvia por medio de la sabiduría del payé)."
oco rójaare,"despejar (el viento, el trueno y las nubes de la lluvia por medio de la sabiduría del payé). sinón. oco rẽtore. oco sãjare mojarse; (estar) mojado, mojada (persona por un aguacero). 1 entrar agua en la canoa. 2 estar madurando (piña). V. oco sãjarica, sẽna. oco tuase estancarse (río, caño). 206 enfermedades que vienen con el agua. V. werea basere, wẽa ueguure. Oco waago yamo. Ella está cargando agua."
oco waare,"sacar agua con un recipiente (y cargar, traer). 1 regar, echar (agua antes de barrer). 2 tirar, echar agua por la espalda del enfermo (rito del payé para curar, sanar enfermedad)."
oco bajare E,cãmu J s.v.inan.s.de masa mingao (bras. almidón de yuca metida en agua hervida hasta que se espesa).
oco meniri yoso,"o ó mẽn ĩ ĩ d óso J] s.v.inan. caída de agua, cascada, catarata, salto de agua, chorro."
oco enirujiritʉria,"o ó mẽn ĩ ú t J] s.v.inan. caída de agua, cascada, catarata, salto de agua, chorro."
oco mino,viento fuerte antes ocoase Oco jojiʉ bota Eduria & Barasana – Español – 207 de la lluvia.
oco quedirirodo,"o ó ed ódo J] s.v.inan. invierno, estación de las lluvias, época de lluvias."
oco roare,s.v.inan.s.de masa agua potable (agua hervida). sinón. oco roañaiore. antón. oco catise. oco sãjarica s.v.inan. piña comenzando a madurar.
oco wati maa,"tubo de agua, sistema de agua."
ocoase,"liquidarse, derretirse (cera de vela o esperma, brea)."
Oco botiya,"cañito, afluente del caño Piedra (al nordeste del caño Yojoya). 2."
oco buyaa,"an.s.plural 1 nombre general para insectos que existen en la superficie o dentro del agua. 2 remador, nadador de espalda (especie de insecto acuático, flota sobre el agua, incomible). Hemíptero, Notonecta sp. 3 chinche de agua, chinche acuática gigante. Hemíptero, Belostomátido, Lethocerus."
oco eri,especie de culebra cascabel (venenosa).
ocogasero,"nubarrón, nube lluvioso."
oco jojia,"ucuquí o ucugui (bras. especie de fruta que se parece al caimo, comestible, de un árbol silvestre)."
Oco jojiʉ bota,"o ó ó ót J] inan. cerro ubicado en la serranía donde se encuentra el cerro Estrella. 208 El cerro Oco jojiʉ bota se encuentra en la cabecera del caño Oco jojiaya. V. gʉ taʉ, apén. mapa2. oco juturoa patos encapuchados"
oco juturo,pato encapuchado (especie de pato de monte). Oxyura dominica.
oco ñama,especie de insecto acuático.
ocoore,"1 gritar dando alarma de visitantes (ave, mico). 2 exclamar de sorpresa por el tamaño de algo (uso: utilizando una interjección). V. aboo, abi."
ocorẽa,"coral falsa (culebra con rayas negras y rojas, se encuentra en el agua, no es comestible). Oxyhopus petola."
ocorʉ ʉ,"día de lluvia, día lluvioso."
Oco sũaña,caño Colorado (afluente del río Pirá-Paraná). 1.
ocotutijʉ,nivel del río donde los peces viven (según un mito).
oco yujire,cacarear (gallo).
oere,"rallar algo duro (yuca brava, pulpa de algunos frutos como biiti, ñene, etc.)."
ojare,"entrar (al monte), desviarse. 209 ruyubetijare, õo rocajʉa ñaaro ejar maajʉane ojacoasuma. Los que pasaron ayer, por no saber la trocha, se desviaron bajando hacia el río. antón. jíare."
ojo,"bananos, plátanos, plátanos hartones. Musa sapientum (L.) O. Kze., Musa paradisiaca L."
ojo cooro,"gajo de plátano, mano de banano."
ojojure,"racimo de banano, plátano."
ojojũu,"hojas de banano. sing. ojojũuro pl. ojojũu, ojojũurori. V. rujajũuro."
ojojũurʉcʉ,"especie de yuca brava. V. quĩ , rujarʉcʉ. ojojũu yai ocelote, tigrillo"
ojojũu yai,"ocelote, tigrillo. Felis tigrina."
ojoño,"mata de plátano, mata de banano, bananero."
ojoquee,tallo y hoja del plátano (se utiliza solamente el tallo para sostener las partes que cuelgan de la corona de la danza). 210 apén. dibujo de la prenda de plumas para danzar.
ojorica,"maíz. Zea Mays L., (sin.) Mays Zea (Gaetn), M. americana (Baumgaertner)."
ojorica biti,"lágrimas de San Pedro (pepas blancas utilizadas para hacer brazaletes, de una mata la cual tiene hojas parecidas a la mata de maíz). Coix lacryma-Jobi L."
ojorica jĩco,especie de oruga. Heliothis zea.
ojoricaño,mata de maíz.
ojoricaro,mazorca.
ojoro,una fruta de banano o plátano.
ojotõo,"racimo de oore ote Eduria & Barasana – Español – 211 plátano, banano."
oore,"1 agujerear, perforar. 2 herir, hacer herida (en la boca por comer piña), pelar los labios (por comer uva, ucuquí), abrirse (llaga, herida)."
orire,caer en un hueco o una enramada sin darse cuenta.
osimo E,"õsimo J õ sĩm f. cuñada, hermana política (mujer de la familia del esposo; uso: dicho por la mujer)."
oso,"murciélago, chimbilá o chimbilo. O. Chiroptera."
osoa,hongos osoa (especie café y comestible).
oso wã ʉ,"1 frutos oso wã ʉ (especie negro y amargo que alimenta a los peces). F. Icacináceas, Poraqueiba paraensis, Poraqueiba sericea. sing. oso wãmʉa pl. oso wãmʉ, oso wãmʉar . 2 especie de árbol (que crece cerca del río y produce fruta para la fauna)."
ote,"cultivos, matas cultivadas, plantas cultivadas. 212 ote ricaa s.v.inan.f.n.esp. productos de plantas cultivadas (pepas, fruta, raíces)."
otere,sembrar.
otire,llorar.
õa,"aquéllos, aquéllas allá; ellos, ellas allá."
õcãaca E,"mojoricaaca E, J, cãgãaca J cuan.inan. cosa pequeña (canoa, balón, fruta, cosa que lleva el clasificador -a)."
õcãjaʉaca,"lugar pequeño; parte, porción pequeña. sinón. mojor jaʉ, mojor jaʉaca, mojor jʉ: mojor jaʉ."
õcãyaaca E,"mojorisaaca J cuan.inan. cañito. V. riaga õcãyaaca, jiyarisa."
õcõroaca E,"mojoro, mojoroaca E, J cuan.inan. poco, poca; poquito, poquita (cantidad de algo)."
"õcʉ ʉca, õcõoca E","ojogʉ aca, mojogõaca E, quĩjiaca / quĩjica, quĩjoca J s.v.m., f. (ser/estar) pequeño, pequeña (animal, persona). pl. mʉtarã, mʉtarãaca."
õebiore,"retorcer (hilo, cuerda)."
õere,wẽre v.t. hilar (con cumare por retorcer la fibra con las manos para hacer hilo y cuerdas).
õeriamaa,"wẽria aa s.v.inan. cuerda, piola. V. õere."
õja,"inan.s.de masa ceniza, cenizas."
õjare,"desatar (animal, bolsa)."
õje,"1 busto; pecho; seno, senos; tetas. 2 pezones, tetillas."
õje taare,destetar (solamente seres humanos).
õjea J,"bʉjoarã E an.s.plural termitas, térmites o termes, comejenes õjea (especie comestible y negra con cabezas pequeñas, mandíbulas largas, construyen termiteros altos y salen del nido al anochecer). O. Isópteros, F. Xilófagos. 213 comen crudas o cocidas. sing. õjeamʉ V. meca, apén. gráfica de termes y hormigas."
õjeabo J,bʉjoarãbo E inan. termitero alto de forma de una columna de las termitas õjea.
õjearẽtobudise,õ ẽ ẽ t úd s J] v.i. abrirse paso y fluir a otro lugar (el río).
õjease,"desaguar, escurrirse (el patio después de la lluvia, el agua de una represa)."
õjeatadirujise,"õ ẽ t d u s J] v.i. estar erosionada, despejada, denudada (tierra)."
õjeatadise,abrirse paso y fluir a otro lugar (el río). sinón. õjearẽto ud se. õjeca ʉ especie de comején
õjeca,"an.s.plural termitas, térmites, termes, comejenes õjeca (especie pequeña y blanca, se encuentren en madera, comestibles)."
õjeca gaa,especie de halcón.
õjecoa,s.v.inan.s.de masa leche.
õjecoa misimaa,"õ ẽ õ mĩsĩ m J] inan. especie de bejuco (maleza, tiene una flor amarilla)."
Õjecoa riaga,río Amazonas.
õjeore,"1 desaguar. V. õjease. 2 excavar (una depresión en la arena para dormir, hecho por el pez)."
õjeparoori,bustos caídos (por la vejez).
õje webu,frutos del arbusto manto de novia o velo de novia (utilizados para mejorar el color de las plumas que van a reemplazar ésas que ellos han arrancados/desplumados del õje webuʉ papayabʉ Eduria & Barasana – Español – 214 guacamayo). Solanum jasminoides Paxt.
õje webuʉ,"manto de novia, velo de novia (especie de arbusto)."
õnire,roncar.
õo,"allá, allí (muy lejos; uso: requiere sustantivo o sufijo locativo). V. õojʉ, to. õo boejʉ allá arriba, allá en el monte (horizontalmente). õo joeagodo allá arriba (verticalmente). sinón. õo wecajʉ. V. ʉ mʉatuti. õo rocajʉ allá río abajo. õo waisicajʉ allá río arriba. õo weajʉ allá abajo (horizontalmente). õo wecajʉ allá arriba (verticalmente). sinón. õo joeagodo. V. roca."
õojʉ,"allá, allí."
õteabʉ,"õteobʉ inan. especie de balso (utilizado para el bastón del baile). Ochroma lagopus Sw., Ochroma obtusa Rowlee."
õtease,estar) madura (guama).
papapa,especie de rana (comestible).
papayabʉ ESP,"papayo, mata de papaya. Carica papaya L. 215 continuamente. pl. a aya ʉr . papayabʉ papayo, mata de papaya"
papera ESP,"papel. sing. a era jũuro pl. papera, papera jũur V. paperatuti, suamʉtore."
papera jũuro,õ J] inan. hoja de papel.
paperajataro E,paperarãca J inan. caja de cartón.
paperatuti,"libro, cuaderno."
payayu,"especie de rana (venenosa, no comestible)."
Peuʉ,cerro en la cabecera del caño Cananarí.
pẽ yai,zorro vinagre. Speothos venaticus.
piacũru,"pájaro monjita piquirroja, monjita cantora (tiene plumas del color gris con un pico del color rojo, canta bien). Monasa spp. 216"
"pica E, J","mica YM inan. 1 chirimoya, vaituto (reg. especie de fruta comestible y cultivada, tiene pulpa blanca y dulce; parecida al guanábana). Anona spp. 2 chirimoyo, chirimoya, palo de vaituto (reg.)."
picaʉ,"chirimoyo, chirimoya, palo de vaituto (reg.). Anona spp."
"pisacʉ, pisaco","m., f. gato, gata. F. Felidae, Felis domesticus."
pojoo,"sonido de cañonazos o fuego de revólver, escopeta, artillería."
poro poro ĩi yise,ó oo ó oo ĩĩ d s J] v.t. tronar.
poto poto,sonido de caída de fruta de un árbol.
potorijuria,ótó úu J] s.v.inan. cartucho de dinamita.
potose,"explotarse, reventarse, totearse."
queare,"esperar a escondidas para atacar y matar, esperar para emboscar."
quedire,"1 caerse (una cosa, persona). 2 llover. V. oco quedise, quedisãjase."
quedisãjase,"infectar, contagiar con enfermedad espiritualmente (modismo)."
quediwãti,"pájaro atila acanelada. Attila cinnamomeus. 217 yicami. Baárii mee, miniaca ñaami. El pájaro atila acanelada canta: “Piruru, piruru tĩgã”. Es un pajarito incomible. sinón. goje mini. quediwãti atila acanelada"
quee,"especie de curbinata, pez burra (reg. pez grande y comestible del río Apaporis). Plagioscion spp."
queerʉjʉ,"ala de pájaro, avión."
quejeore,"fastidiar, hacer sentir cansado."
quejere,"estar/sentir) aburrido, aburrida (del trabajo, deportes, el estudio, el viaje largo, una enfermedad)."
queore,"hacer bajar al suelo, hacer caer (persona, cosa)."
quequero,perico colirrojo. Pyrrhura melanura.
querea,perezoso. Bradypus gorgona. 218
Querea yaa bota,d ót J] inan. cerro en la cabecera del caño Paca (uso: se dice menos que Wajʉ bota). sinón. Wajʉ ota. V. gʉ taʉ.
